PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.6	-0.2	0		0	0	200		0.56	-6.44	-0.19		-40	-920	0		-25.48	-930.36	0		-14.52	10.36	0
4.6	-0.2	0		0	0	220		0.69	-6.62	-0.12		-44	-1012	0		-38.78	-952.15	0		-5.22	-59.85	0
4.6	-0.2	0		0	0	240		0.5	-6.12	-0.19		-48	-1104	0		-19.76	-886.42	0		-28.24	-217.58	0
4.6	-0.2	0		0	0	260		0.94	-9.06	-0.19		-52	-1196	0		-53.17	-1303.18	0		1.17	107.18	0
4.6	-0.2	0		0	0	280		1	-8.81	-0.25		-56	-1288	0		-65.84	-1267.66	0		9.84	-20.34	0
4.6	-0.2	0		0	0	300		1	-7.94	-0.31		-60	-1380	0		-75.55	-1142.72	0		15.55	-237.28	0
4.6	-0.2	0		0	0	320		1.31	-10.88	-0.31		-64	-1472	0		-92.02	-1562.57	0		28.02	90.57	0
4.6	-0.2	0		0	0	340		1.25	-10.56	-0.31		-68	-1564	0		-86.3	-1518.63	0		18.3	-45.37	0
4.6	-0.2	0		0	0	360		1.25	-10.62	-0.25		-72	-1656	0		-83.76	-1525.31	0		11.76	-130.69	0
4.6	-0.2	0		0	0	380		1.31	-12.56	-0.38		-76	-1748	0		-79.13	-1810.61	0		3.13	62.61	0
4.6	-0.2	0		0	0	400		1.19	-11.69	-0.44		-80	-1840	0		-71.89	-1688.75	0		-8.11	-151.25	0
4.6	-0.2	0		0	0	420		1.56	-12.25	-0.38		-84	-1932	0		-115.78	-1758.95	0		31.78	-173.05	0
4.1	0.4	0		0	0	20		-0.06	-1.31	-0.06		8	-82	0		18.05	-195	0		-10.05	113	0
4.1	0.4	0		0	0	40		-0.06	-1.06	-0.06		16	-164	0		15.85	-158.61	0		0.15	-5.39	0
4.1	0.4	0		0	0	60		-0.06	-1.38	0		24	-246	0		20.6	-201.68	0		3.4	-44.32	0
4.1	0.4	0		0	0	80		-0.06	-2.25	0		32	-328	0		28.31	-329.04	0		3.69	1.04	0
4.1	0.4	0		0	0	100		-0.06	-2.75	-0.12		40	-410	0		28.73	-406.65	0		11.27	-3.35	0
4.1	0.4	0		0	0	120		-0.19	-2.81	-0.12		48	-492	0		46.23	-418.84	0		1.77	-73.16	0
4.1	0.4	0		0	0	140		-0.19	-4.19	-0.12		56	-574	0		58.35	-618.98	0		-2.35	44.98	0
4.1	0.4	0		0	0	160		-0.25	-4.38	0.25		64	-656	0		80.43	-633.31	0		-16.43	-22.69	0
4.1	0.4	0		0	0	180		-0.25	-4.44	-0.19		72	-738	0		67.04	-659.33	0		4.96	-78.67	0
4.1	0.4	0		0	0	200		-0.31	-5.5	-0.19		80	-820	0		84.88	-815.52	0		-4.88	-4.48	0
4.1	0.4	0		0	0	220		-0.06	-5.69	-0.19		88	-902	0		52.64	-836.64	0		35.36	-65.36	0
4.1	0.4	0		0	0	240		-0.31	-5.69	-0.19		96	-984	0		86.53	-842.81	0		9.47	-141.19	0
4.1	0.4	0		0	0	260		-0.38	-6.75	-0.25		104	-1066	0		102.38	-1001.43	0		1.62	-64.57	0
4.1	0.4	0		0	0	280		-0.38	-7.81	-0.25		112	-1148	0		111.75	-1156.08	0		0.25	8.08	0
4.1	0.4	0		0	0	300		-0.38	-7.56	-0.25		120	-1230	0		109.54	-1119.69	0		10.46	-110.31	0
4.1	0.4	0		0	0	320		-0.56	-8.44	-0.44		128	-1312	0		136.7	-1258.93	0		-8.7	-53.07	0
4.1	0.4	0		0	0	340		-0.5	-8.5	-0.62		136	-1394	0		122.8	-1273.74	0		13.2	-120.26	0
4.1	0.4	0		0	0	360		-0.38	-8.88	-0.25		144	-1476	0		121.12	-1310.73	0		22.88	-165.27	0
4.1	0.4	0		0	0	380		-0.81	-10.31	-0.62		152	-1558	0		181.15	-1545.27	0		-29.15	-12.73	0
4.1	0.4	0		0	0	400		-0.62	-10.56	-0.38		160	-1640	0		165.9	-1567.36	0		-5.9	-72.64	0
4.1	0.4	0		0	0	420		-0.94	-10.44	-0.5		168	-1722	0		203.18	-1561.72	0		-35.18	-160.28	0
4.1	0.4	0		0	0	440		-0.75	-11.88	-0.56		176	-1804	0		188.44	-1768.74	0		-12.44	-35.26	0
4.1	0.4	0		0	0	460		-0.81	-12.44	-0.75		184	-1886	0		195.9	-1859.41	0		-11.9	-26.59	0
4.1	0.4	0		0	0	480		-1	-12.31	-0.56		192	-1968	0		226.19	-1838.6	0		-34.19	-129.4	0
4.1	0.1	0		0	0	20		0.06	-1.31	-0.06		2	-82	0		1.11	-191.91	0		0.89	109.91	0
4.1	0.1	0		0	0	40		0.06	-1.56	-0.06		4	-164	0		3.31	-228.3	0		0.69	64.3	0
4.1	0.1	0		0	0	60		0.06	-1.38	0		6	-246	0		3.65	-198.59	0		2.35	-47.41	0
4.1	0.1	0		0	0	80		0.19	-2.56	-0.06		8	-328	0		-4.82	-370.77	0		12.82	42.77	0
4.1	0.1	0		0	0	100		0.06	-2.56	-0.06		10	-410	0		12.13	-373.86	0		-2.13	-36.14	0
4.1	0.1	0		0	0	120		0.06	-2.75	-0.06		12	-492	0		13.78	-401.15	0		-1.78	-90.85	0
4.1	0.1	0		0	0	140		0.19	-4.38	-0.12		14	-574	0		9.17	-637	0		4.83	63	0
4.1	0.1	0		0	0	160		0.19	-4.06	-0.12		16	-656	0		6.41	-591.52	0		9.59	-64.48	0
4.1	0.1	0		0	0	180		0.19	-4.19	-0.12		18	-738	0		7.52	-609.71	0		10.48	-128.29	0
4.1	0.1	0		0	0	200		0.25	-6.19	-0.19		20	-820	0		14.68	-901.69	0		5.32	81.69	0
4.1	0.1	0		0	0	220		0.19	-5.81	-0.19		22	-902	0		19.85	-848.66	0		2.15	-53.34	0
4.1	0.1	0		0	0	240		0.25	-6.12	-0.25		24	-984	0		12.14	-895.01	0		11.86	-88.99	0
4.1	0.1	0		0	0	260		0.31	-7.38	-0.31		26	-1066	0		12.7	-1077.83	0		13.3	11.83	0
4.1	0.1	0		0	0	280		0.31	-7.25	-0.31		28	-1148	0		11.59	-1059.64	0		16.41	-88.36	0
4.1	0.1	0		0	0	300		0.38	-7.44	-0.31		30	-1230	0		4.77	-1085.38	0		25.23	-144.62	0
4.1	0.1	0		0	0	320		0.31	-9	-0.38		32	-1312	0		25.03	-1316.77	0		6.97	4.77	0
4.1	0.1	0		0	0	340		0.31	-9	-0.25		34	-1394	0		29.01	-1311.94	0		4.99	-82.06	0
4.1	0.1	0		0	0	360		0.31	-8.94	-0.31		36	-1476	0		26.47	-1305.26	0		9.53	-170.74	0
4.1	0.1	0		0	0	380		0.38	-10.56	-0.38		38	-1558	0		30.33	-1542.66	0		7.67	-15.34	0
4.1	0.1	0		0	0	400		0.31	-10.81	-0.38		40	-1640	0		41.01	-1580.59	0		-1.01	-59.41	0
4.1	0.1	0		0	0	420		0.44	-10.75	-0.69		42	-1722	0		13.55	-1580.49	0		28.45	-141.51	0
4.1	0.1	0		0	0	440		0.38	-12.12	-1		44	-1804	0		24.19	-1794.26	0		19.81	-9.74	0
4.1	0.1	0		0	0	460		0.38	-12.25	-1.06		46	-1886	0		23.3	-1814.87	0		22.7	-71.13	0
4.1	0.1	0		0	0	480		0.5	-12.25	-1.06		48	-1968	0		6.35	-1811.78	0		41.65	-156.22	0
4.1	0.1	0		0	0	500		0.44	-14.25	-0.62		50	-2050	0		46.4	-2087.52	0		3.6	37.52	0
4.1	0.1	0		0	0	520		0.56	-13.94	-0.69		52	-2132	0		24.71	-2041.36	0		27.29	-90.64	0
4.1	0.1	0		0	0	540		0.38	-13.81	-0.56		54	-2214	0		53.01	-2022.96	0		0.99	-191.04	0
4.1	-0.2	0		0	0	20		0.06	-1.19	-0.06		-4	-82	0		0	-173.72	0		-4	91.72	0
4.1	-0.2	0		0	0	40		0.19	-1.44	-0.06		-8	-164	0		-14.74	-207.02	0		6.74	43.02	0
4.1	-0.2	0		0	0	60		0.12	-1.31	0		-12	-246	0		-5.37	-187.95	0		-6.63	-58.05	0
4.1	-0.2	0		0	0	80		0.31	-2.94	-0.06		-16	-328	0		-18.46	-422.26	0		2.46	94.26	0
4.1	-0.2	0		0	0	100		0.19	-2.25	-0.12		-20	-410	0		-9.57	-327.7	0		-10.43	-82.3	0
4.1	-0.2	0		0	0	120		0.31	-3.19	-0.12		-24	-492	0		-18.25	-461.07	0		-5.75	-30.93	0
4.1	-0.2	0		0	0	140		0.5	-4.44	-0.25		-28	-574	0		-36.63	-643.21	0		8.63	69.21	0
4.1	-0.2	0		0	0	160		0.5	-4.5	-0.19		-32	-656	0		-34.09	-649.89	0		2.09	-6.11	0
4.1	-0.2	0		0	0	180		0.62	-4.19	-0.12		-36	-738	0		-51.8	-598.9	0		15.8	-139.1	0
4.1	-0.2	0		0	0	200		0.69	-5.19	-0.12		-40	-820	0		-51.45	-742.91	0		11.45	-77.09	0
4.1	-0.2	0		0	0	220		0.62	-6.12	-0.19		-44	-902	0		-36.71	-883.33	0		-7.29	-18.67	0
4.1	-0.2	0		0	0	240		0.62	-6	-0.12		-48	-984	0		-35.82	-862.72	0		-12.18	-121.28	0
4.1	-0.2	0		0	0	260		0.94	-8	-0.5		-52	-1066	0		-72.5	-1160.61	0		20.5	94.61	0
